Ticker,Pair Ticker,Mape Value,MAPE_Diff,Pair Mape
GEN,MSFT,5.8771104142912725,3.2621916456324125,2.61491876865886
KLAC,HPQ,3.139092882517129,0.5235416726301141,2.615551209887015
FSLR,ON,2.7552572761676277,0.13652298479634561,2.618734291371282
MPWR,ADI,3.380903050735077,0.76153718188811,2.619365868846967
PTC,FFIV,1.5641341556798805,1.055884801461276,2.6200189571411565
HPQ,JNPR,2.129533095192412,0.49154385106375065,2.6210769462561627
IBM,FSLR,1.6738788607153636,0.9476337313985477,2.6215125921139113
STX,INTU,3.8927785927274203,1.2699731075133611,2.622805485214059
MCHP,LRCX,2.4409641619121225,0.18202151131206534,2.622985673224188
FTNT,NXPI,2.45875407324991,0.1643031295794386,2.6230572028293486
JNPR,INTU,2.8448980236794497,0.22182430055248314,2.6230737231269665
ANET,NXPI,3.05937788558553,0.436117964302845,2.623259921282685
NXPI,INTU,2.714324428404252,0.09015282511296263,2.6241716032912894
MSFT,FFIV,2.0662763518381646,0.5584997979605686,2.624776149798733
FTNT,PANW,2.45875407324991,0.16635227116737505,2.625106344417285
FICO,NXPI,1.9505316636986891,0.6756280543328388,2.626159718031528
AKAM,PTC,6.020539805294995,3.3935268711277478,2.6270129341672477
QCOM,AMAT,2.879957102643751,0.2502627633580401,2.629694339285711
GEN,KLAC,5.8771104142912725,3.246924242314005,2.6301861719772677
CDW,HPQ,1.9741935302225542,0.6590577232151189,2.633251253437673
NXPI,NVDA,2.714324428404252,0.08102495127106701,2.633299477133185
ON,LRCX,2.5683448768622257,0.06522924082572112,2.633574117687947
SNPS,CTSH,2.092444045885829,0.5421467517365803,2.634590797622409
MSFT,HPE,2.0662763518381646,0.5684916430599078,2.6347679948980725
TER,TEL,2.888012907444673,0.25266398517720123,2.6353489222674717
JBL,FSLR,1.8143173922707578,0.8213068140536428,2.6356242063244006
AKAM,SNPS,6.020539805294995,3.384521713479549,2.6360180918154463
TEL,ORCL,2.173030530303121,0.4631593082804111,2.6361898385835323
NTAP,FSLR,2.0881222027625936,0.5493845166641718,2.6375067194267654
MSFT,JNPR,2.0662763518381646,0.5724509419440502,2.638727293782215
FSLR,HPE,2.7552572761676277,0.11556373851460755,2.63969353765302
MPWR,AMAT,3.380903050735077,0.740858304641002,2.640044746094075
NXPI,CSCO,2.714324428404252,0.07388289375884094,2.640441534645411
FTNT,MCHP,2.45875407324991,0.1824807954142318,2.641234868664142
SNPS,AMAT,2.092444045885829,0.5497376023095293,2.642181648195358
ACN,JNPR,1.9468629142206837,0.6968343144462377,2.6436972286669214
NXPI,FTNT,2.714324428404252,0.07055195059600461,2.6437724778082474
ON,GLW,2.5683448768622257,0.0766345277293925,2.644979404591618
TRMB,HPQ,3.7158311433298037,1.0700185535483842,2.6458125897814195
FSLR,FFIV,2.7552572761676277,0.10915900990864369,2.646098266258984
AMD,MSI,5.411054161665114,2.763588499594149,2.647465662070965
HPE,LRCX,2.706802757293325,0.05883810162162062,2.6479646556717045
ACN,HPE,1.9468629142206837,0.7021092754843299,2.6489721897050136
SNPS,KEYS,2.092444045885829,0.5569005861239855,2.6493446320098144
ACN,FFIV,1.9468629142206837,0.7028800042255992,2.649742918446283
GLW,TDY,3.0980904176886708,0.44671011249195614,2.6513803051967146
HPQ,ANET,2.129533095192412,0.5223186348152709,2.651851730007683
MSFT,KEYS,2.0662763518381646,0.5861975356611757,2.6524738874993403
JNPR,ANET,2.8448980236794497,0.1890720052949395,2.65582601838451
QCOM,TXN,2.879957102643751,0.22411707052053131,2.6558400321232196
AMAT,NXPI,2.489585993914365,0.16750637751930997,2.657092371433675
HPQ,FFIV,2.129533095192412,0.5281678066320676,2.6577009018244797
AMAT,CTSH,2.489585993914365,0.16857155254255662,2.6581575464569216
ANET,TXN,3.05937788558553,0.4005409150371242,2.6588369705484056
ON,MCHP,2.5683448768622257,0.09071117200168555,2.6590560488639112
CSCO,ORCL,2.759847509248003,0.10023904613000711,2.659608463117996
AMD,AAPL,5.411054161665114,2.751395304691591,2.659658856973523
AMAT,TRMB,2.489585993914365,0.17098017036361846,2.6605661642779834
MSFT,ANET,2.0662763518381646,0.5944056188651974,2.660681970703362
AAPL,INTU,1.4409123203580902,1.2211152594093386,2.662027579767429
FSLR,KEYS,2.7552572761676277,0.09290919457617264,2.662348081591455
SNPS,AAPL,2.092444045885829,0.5704720607303839,2.662916106616213
NXPI,PANW,2.714324428404252,0.05120706234485395,2.663117366059398
ENPH,FTNT,7.447449492364927,4.783922532018781,2.6635269603461467
PTC,TRMB,1.5641341556798805,1.0993934833543404,2.663527639034221
KEYS,FFIV,2.576695208754098,0.08799568819931425,2.664690896953412
APH,ORCL,1.995950905165686,0.6707965282257851,2.666747433391471
STX,FFIV,3.8927785927274203,1.225997986016853,2.6667806067105673
KEYS,CTSH,2.576695208754098,0.09112460708131875,2.6678198158354167
NXPI,ADI,2.714324428404252,0.04516194595274925,2.669162482451503
GEN,LRCX,5.8771104142912725,3.207820390377261,2.6692900239140114
FICO,LRCX,1.9505316636986891,0.7192651702245874,2.6697968339232765
TRMB,AVGO,3.7158311433298037,1.0457255188941201,2.6701056244356836
AMAT,ON,2.489585993914365,0.18176552777844135,2.6713515216928063
AAPL,ANET,1.4409123203580902,1.2313192303715783,2.6722315507296686
ON,FFIV,2.5683448768622257,0.10556336857442483,2.6739082454366505
AMAT,NVDA,2.489585993914365,0.18459234586001294,2.674178339774378
PTC,HPE,1.5641341556798805,1.1101572909135908,2.6742914465934713
TER,ACN,2.888012907444673,0.2113253813141367,2.6766875261305363
