signal,pred,prev_spread,next_spread
0,0.04689255,0.07519044233744154,[0.09111768]
0,0.06642543,0.09111768445884827,[0.08908528]
0,0.07217271,0.08908528119909986,[0.08820887]
0,0.08362186,0.0882088659755964,[0.08679194]
1,0.0876853,0.08679194331412465,[0.11557379]
0,0.09580622,0.1155737892149919,[0.09597651]
1,0.10241066,0.09597650579388395,[0.09685138]
1,0.10189457,0.09685137951315637,[0.0969143]
1,0.09808552,0.09691430091311692,[0.132209]
0,0.11325312,0.13220900218851545,[0.14763778]
0,0.13045874,0.14763777789642674,[0.22983709]
0,0.17026311,0.22983708962880117,[0.27601481]
0,0.21503416,0.27601481077264806,[0.26488935]
0,0.23605415,0.2648893543297419,[0.26365363]
0,0.25974286,0.2636536284837469,[0.27257025]
1,0.27317888,0.27257024950086783,[0.27083942]
1,0.2751342,0.270839420523335,[0.24453421]
1,0.27494264,0.244534211374143,[0.26260653]
1,0.26329795,0.26260652670088513,[0.2595081]
1,0.26495215,0.25950810319726186,[0.28326156]
0,0.26862705,0.28326156229772126,[0.28557816]
0,0.2809656,0.2855781628829043,[0.28109659]
1,0.28180546,0.2810965896741357,[0.26117363]
1,0.28245392,0.2611736284501141,[0.24293035]
1,0.26942778,0.24293034629051707,[0.28767671]
0,0.26296175,0.2876767106878233,[0.28356916]
0,0.27681035,0.2835691624601117,[0.27516166]
1,0.27778614,0.2751616582493528,[0.24302087]
1,0.27435115,0.2430208746298812,[0.21436725]
1,0.25966936,0.21436725385365535,[0.212077]
1,0.23061152,0.2120769989771415,[0.20757342]
1,0.22210236,0.20757342429889925,[0.2070978]
1,0.21351072,0.207097800175367,[0.26873933]
0,0.23414585,0.2687393312141856,[0.31290539]
0,0.26688182,0.3129053893370228,[0.30867172]
0,0.289194,0.30867171803589366,[0.3042057]
1,0.30722138,0.3042057000061799,[0.31338312]
1,0.31778124,0.3133831155117786,[0.33482278]
0,0.32560134,0.3348227767620198,[0.32805445]
1,0.3327542,0.3280544520954437,[0.32239993]
1,0.33597323,0.3223999343038923,[0.28707805]
1,0.32917362,0.2870780464993349,[0.28997481]
1,0.30869666,0.2899748132222384,[0.35286833]
0,0.31787276,0.3528683259698478,[0.34492818]
0,0.33149633,0.3449281778144748,[0.3327723]
1,0.33590168,0.3327722958617477,[0.3170355]
1,0.32991382,0.31703549958120125,[0.32540138]
